Ealpha,dEdx1,dEdx2,0.0001
1000,271.4,3317,271.7317
1100,264.6,3059,264.9059
1200,257.7,2840,257.984
1300,250.8,2653,251.0653
1400,243.9,2490,244.149
1500,237.3,2347,237.5347
1600,231,2220,231.222
1700,224.8,2107,225.0107
1800,219,2006,219.2006
2000,208,1832,208.1832
2250,195.6,1654,195.7654
2500,184.6,1510,184.751
2750,174.7,1390,174.839
3000,165.8,1289,165.9289
3250,157.8,1202,157.9202
3500,150.5,1126,150.6126
3750,143.9,1060,144.006
4000,137.9,1002,138.0002
4500,127.4,903.9,127.49039
5000,118.4,824,118.4824
5500,110.7,757.7,110.77577
6000,104,701.7,104.07017
6500,98.12,653.9,98.18539
7000,92.91,612.4,92.97124
