D1 name,delay1,D2 name,delay2,dt,#,ln(#)
3;30,0.33,0;0,0,0.33,1219,7.105786129
4;00,0.4,0;0,0,0.4,672,6.510258341
5;00,0.5,0;0,0,0.5,19,2.944438979
6;00,0.6,0;0,0,0.6,1,0
4;50,0.45,0;0,0,0.45,145,4.976733742
4;20,0.42,0;0,0,0.42,412,6.021023349
2;80,0.28,0;0,0,0.28,351,5.860786223
2;50,0.25,0;0,0,0.25,314,5.749392986
2;00,0.2,0;0,0,0.2,135,4.905274778
1;00,0.1,0;0,0,0.1,71.5,4.26969745
1;00,0.1,0;5,0.05,0.05,81,4.394449155
1;00,0.1,1;0,0.1,0,53,3.970291914
1;00,0.1,3;0,0.3,-0.2,9,2.197224577
1;00,0.1,2;0,0.2,-0.1,26,3.258096538
3;0,0.3,0;0,0,0.3,930,6.835184586
3;7,0.37,0;0,0,0.37,1105,7.007600614
